phase,condition,intervention_type,study_design,sponsor_type,enrollment,enrollment_type,status,gender,location,masking,duration
1,12674,6,2,3,33.0,0,1,0,2247,1,1886.0
5,19528,2,1,7,30.0,0,1,0,2465,1,1368.0
5,1554,6,1,3,154.0,0,0,0,132,2,530.0
6,15870,6,1,6,97.0,0,0,0,432,4,1549.0
5,4051,6,1,3,719.0,0,0,0,869,1,792.0
3,12729,6,1,6,8.0,0,1,0,1666,4,3035.0
6,17132,6,1,3,15.0,0,1,0,2465,2,942.0
3,11667,6,2,6,0.0,0,1,0,157,1,1156.0
5,18536,6,0,8,0.0,0,1,0,2465,1,730.0
5,5153,6,1,3,17.0,0,1,0,1983,2,965.0
3,6325,6,2,3,0.0,0,1,1,726,1,943.0
3,13701,6,2,3,4.0,0,1,1,2465,1,546.0
0,13921,6,1,6,0.0,0,1,0,1096,3,31.0
1,11689,10,0,3,2.0,0,1,0,2186,1,494.0
5,5549,6,0,3,180.0,2,0,0,2465,1,730.0
1,18609,6,2,3,23.0,0,0,0,2247,1,334.0
2,10414,6,1,3,32.0,0,1,0,2247,1,2660.0
2,8300,6,2,6,8.0,0,1,0,2454,1,1279.0
3,10937,6,0,3,162.0,0,0,0,83,1,2353.0
6,4432,6,1,3,12.0,0,1,0,2465,2,137.0
3,13451,6,1,3,2.0,0,1,0,1807,2,638.0
3,12885,3,2,3,7.0,0,1,0,1089,1,950.0
3,391,6,1,3,231.0,0,0,0,157,0,1087.0
6,14498,9,2,6,150.0,1,1,0,2465,1,791.0
5,19858,5,1,6,100000.0,1,0,1,377,2,2861.0
1,8142,6,1,3,40.0,0,0,2,2273,0,549.0
5,20039,6,1,6,1310.0,0,0,0,1617,2,2963.0
5,8578,8,1,5,211.0,0,0,2,1457,1,1584.0
6,9545,1,1,6,0.0,0,1,0,2465,1,426.0
3,505,9,2,5,68.0,0,0,0,668,1,3488.0
5,9474,6,1,5,212.0,0,0,0,83,1,5419.0
2,9648,6,2,5,4.0,0,1,0,1457,1,1289.0
5,3668,6,1,6,180.0,0,0,1,1719,1,974.0
3,19890,6,1,6,0.0,0,1,0,2465,1,641.0
6,15517,6,2,6,163.0,0,1,0,432,1,2167.0
3,15770,6,2,3,0.0,0,1,2,2465,1,1076.9030855527424
6,1972,1,2,6,16.0,0,0,1,2465,1,518.0
6,12323,3,1,6,152.0,0,0,0,2465,1,1431.0
3,14596,6,0,3,523.0,0,0,0,2465,1,578.0
5,16972,1,1,6,7500.0,0,0,0,669,2,1035.0
3,15077,6,1,3,60.0,0,0,0,1458,2,322.0
3,10835,6,2,5,258.1383630528429,1,0,0,1621,1,366.0
6,8380,6,2,6,3.0,0,1,0,2465,1,984.0
1,4620,1,1,5,6.0,0,0,0,1807,1,454.0
2,2006,1,1,5,3.0,0,1,0,1457,0,2164.0
3,13172,6,0,3,24.0,2,1,0,1621,1,1076.9030855527424
1,8265,6,1,3,30.0,0,0,0,2465,1,30.0
3,8752,9,0,5,18.0,0,1,0,1457,1,1108.0
3,19554,6,2,3,3.0,0,1,0,812,1,1205.0
1,2880,1,1,1,95.0,0,0,0,680,1,3743.0
1,8162,6,0,3,19.0,0,0,2,2465,1,248.0
6,16617,6,1,3,111.0,0,1,0,593,1,535.0
1,2924,6,0,3,63.0,0,1,0,2246,1,1076.9030855527424
5,2006,6,1,3,398.0,0,0,0,1517,0,1096.0
1,7485,6,0,5,144.0,0,1,0,2247,1,4890.0
6,5523,6,1,6,60.0,1,0,0,2465,3,790.0
0,11419,6,2,3,20.0,0,0,0,1517,1,2008.0
3,16134,9,0,6,7.0,0,0,0,2465,1,3408.0
6,15088,3,1,6,50.0,0,1,0,2465,1,1004.0
3,2306,6,1,3,38.0,0,1,0,2465,4,275.0
6,15736,3,2,3,84.0,0,0,0,671,1,1482.0
2,13701,6,1,6,108.0,0,0,1,1458,1,2495.0
1,16175,1,2,3,55.0,0,1,0,2392,1,2332.0
5,15186,6,1,3,67.0,0,0,1,2465,4,704.0
3,15244,6,1,3,40.0,0,0,1,432,0,275.0
5,5642,5,1,6,143.0,0,0,0,239,0,1096.0
5,19283,1,1,3,518.0,0,0,0,432,2,1217.0
2,9742,6,1,5,100.0,2,0,0,432,0,1765.0
2,13972,6,1,3,30.0,2,0,0,2465,0,1076.9030855527424
3,13441,6,1,6,0.0,0,1,0,2465,1,184.0
3,4595,1,2,6,5.0,0,1,0,1938,1,699.0
3,11137,6,2,5,15.0,0,0,0,2392,1,1429.0
5,19875,9,1,6,0.0,0,1,0,1524,2,92.0
4,12085,6,1,3,63.0,0,1,0,1719,2,640.0
6,4051,6,2,3,14.0,0,1,0,2465,1,758.0
2,5725,3,1,5,12.0,0,1,0,1621,1,1520.0
3,8478,6,2,3,26.0,0,0,0,2465,1,215.0
1,12556,6,2,3,53.0,0,0,0,593,1,854.0
3,17734,6,2,6,32.0,0,0,0,769,1,1370.0
1,12543,6,2,3,33.0,0,0,2,1617,1,1367.0
5,11839,1,2,3,0.0,0,1,0,2465,1,1333.0
1,15449,6,1,6,48.0,0,0,1,2465,1,467.0
3,14703,6,0,6,12.0,0,1,0,880,1,731.0
1,15945,6,1,5,0.0,0,1,0,1807,0,365.0
3,9838,6,1,6,100.0,0,0,0,2465,0,29.0
3,3144,6,2,3,2.0,0,1,0,2316,1,1582.0
3,8219,6,1,6,10.0,0,1,0,202,3,314.0
1,17244,6,2,6,5.0,0,1,0,2247,1,3287.0
5,3631,9,1,6,250.0,0,0,0,2465,3,334.0
2,2856,6,0,3,10.0,0,1,0,2316,1,1789.0
5,2880,6,1,3,527.0,0,0,1,2465,1,1076.9030855527424
1,3336,1,2,5,7.0,0,1,0,1807,1,1584.0
1,19411,6,2,5,30.0,0,1,0,1621,1,1076.9030855527424
1,4029,6,1,3,0.0,0,1,0,1875,2,304.0
5,3017,5,0,6,0.0,0,1,0,1908,1,1461.0
1,8820,1,2,5,6.0,0,0,0,2246,1,1736.0
1,19219,6,1,3,20.0,1,0,0,432,1,184.0
3,17537,3,2,3,71.0,0,0,0,432,1,1004.0
6,13855,6,1,6,11.0,0,0,0,1457,4,730.0
1,8057,6,1,3,48.0,0,0,0,1807,1,1076.9030855527424
2,3546,6,1,6,38.0,0,0,0,2465,2,3409.0
2,2880,10,0,6,45.0,0,0,0,1458,1,5814.0
2,14538,3,1,3,83.0,0,1,0,432,3,639.0
2,7586,6,0,3,68.0,0,0,0,432,1,2039.0
3,15870,6,2,6,22.0,0,1,0,432,1,1128.0
3,2880,6,1,3,55.0,0,0,1,1199,0,4322.0
0,2880,4,2,6,0.0,0,1,0,812,1,730.0
6,5523,6,1,6,181.0,0,0,0,2465,3,1096.0
2,12616,5,1,5,40.0,0,0,0,1517,4,1249.0
3,7772,6,1,6,140.0,0,0,1,922,1,1166.0
3,2083,6,1,3,307.0,0,0,0,83,4,427.0
3,13352,9,1,8,3.0,0,1,0,854,0,245.0
1,8162,6,2,3,12.0,0,0,0,1614,1,59.0
3,2880,6,0,3,90.0,2,1,1,2465,1,1127.0
1,5377,9,2,7,5.0,0,0,0,2465,1,1096.0
3,7962,6,1,6,0.0,0,1,0,2465,1,671.0
5,10256,6,1,3,557.0,0,0,0,83,2,371.0
2,3861,6,0,8,39.0,1,0,0,2465,1,1339.0
1,8057,6,1,3,50.0,0,0,0,2465,1,103.0
1,12271,6,2,3,10.0,0,0,0,63,1,599.0
6,3430,6,1,6,35.0,0,0,0,2465,0,700.0
5,17807,0,1,5,172.0,0,0,0,1614,3,1614.0
6,10183,9,1,6,54.0,0,1,0,1726,1,329.0
3,2880,6,2,6,45.0,0,1,1,1517,1,3743.0
6,8284,6,1,6,338.0,0,0,0,2465,1,578.0
6,4203,6,1,3,30.0,0,0,0,812,1,214.0
3,6830,6,1,6,30.0,0,0,0,1579,0,921.0
6,4763,6,1,6,20.0,0,1,0,1096,2,2720.0
1,18575,1,2,5,15.0,0,0,0,1457,1,4300.0
3,10896,6,2,3,7.0,0,1,0,227,1,973.0
5,19219,6,1,3,182.0,0,0,0,2465,1,554.0
6,5438,6,0,6,1.0,0,1,0,2246,1,669.0
0,9702,6,1,6,25.0,0,0,0,1380,1,1765.0
3,16466,6,2,6,71.0,0,0,0,2465,1,1642.0
6,9493,6,2,3,43.0,0,0,0,2465,1,662.0
3,1126,6,2,6,41.0,0,0,0,2465,1,1156.0
5,4993,6,2,6,30.0,0,0,0,2465,1,273.0
1,5523,6,1,3,93.0,0,0,0,2247,3,62.0
2,2511,6,0,6,31.0,0,0,0,2465,1,982.0
0,11781,6,1,6,10.0,0,1,0,158,0,608.0
6,16972,1,1,6,456.0,0,0,0,2309,1,151.0
6,19670,6,1,3,35.0,0,0,0,812,1,305.0
6,10819,8,1,6,36.0,0,0,0,1719,4,1455.0
5,7362,6,1,6,10.0,0,1,0,1726,4,2082.0
4,3373,3,0,3,261.0,0,0,0,2465,1,608.0
5,10927,6,1,3,258.1383630528429,1,1,0,2465,1,1096.0
1,10937,6,0,3,10.0,0,0,0,2465,1,1064.0
3,6750,6,1,3,0.0,0,1,0,1517,2,791.0
6,2730,3,1,6,0.0,0,1,0,1496,1,274.0
1,573,8,2,6,17.0,0,0,0,178,1,1004.0
1,8057,6,2,3,18.0,0,0,2,2273,1,31.0
3,6838,1,0,6,14.0,0,0,0,1517,1,6773.0
1,16650,6,1,3,10.0,0,1,0,2465,1,1675.0
3,596,3,2,6,40.0,1,0,0,1987,1,426.0
3,4043,6,1,3,152.0,0,1,0,432,1,1187.0
3,5999,6,1,3,65.0,0,1,0,2465,0,92.0
3,11192,6,2,5,34.0,0,1,0,1457,1,917.0
1,8151,6,2,3,81.0,0,0,0,1199,1,1037.0
5,19086,6,1,3,176.0,0,1,0,2465,2,1156.0
5,13598,3,1,3,220.0,0,1,0,157,2,1270.0
5,6841,6,1,6,90.0,0,0,0,2465,2,306.0
1,7795,6,0,6,5.0,0,1,0,2316,1,309.0
3,2997,6,1,8,20.0,1,1,0,2465,3,1402.0
6,4855,9,1,3,80.0,2,0,0,2465,1,609.0
4,2761,1,1,6,0.0,0,1,0,880,3,365.0
5,8295,6,1,3,295.0,0,0,0,2465,0,273.0
3,12581,6,0,5,0.0,0,1,0,2465,1,719.0
5,3881,6,1,6,22.0,0,0,0,593,1,1266.0
5,5082,6,1,6,50.0,0,0,0,2465,1,1857.0
1,5438,6,1,3,26.0,0,0,0,432,4,638.0
3,15376,6,1,6,0.0,0,1,1,2362,3,215.0
6,5731,8,2,3,18.0,0,1,0,2465,1,146.0
6,5017,9,0,6,350.0,2,0,0,211,1,699.0
1,12914,6,1,3,72.0,0,0,2,2465,2,243.0
5,8913,6,1,3,411.0,0,1,0,83,2,274.0
5,9240,6,1,6,184.0,0,1,0,157,0,2981.0
3,4723,6,1,5,395.0,0,0,0,432,2,1948.0
